build_id,mode,implementation,state,perf_profile,footprint_bytes,reason,rows
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,98304,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,131072,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,196608,counter_missing_or_multiplexed,14
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,196608,timed_page_fault,1
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,229376,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,262144,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,294912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,393216,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,524288,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,1048576,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,2097152,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,4194304,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,5242880,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,6291456,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,7340032,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,8388608,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,12582912,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,33554432,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,134217728,counter_missing_or_multiplexed,15
stride16-gcc13-scalar,stride16_scan,scalar,warm,l3_miss,536870912,counter_missing_or_multiplexed,15
